#  nr   x [pix]  y [pix]       sum  max pixel  elongation
    1   565.40   289.20      84888       1794    0.806892
    2    27.78   508.36      45459       1063    0.796700
    3   553.90   361.05      28270        775    0.829504
    4   403.04  1074.01      24718        612    0.838954
    5   458.70   216.23      19510        507    0.857832
    6   367.91   679.51      18041        526    0.817600
    7  1271.99    31.09      14088        476    0.862771
    8   542.71   745.02      11200        408    0.891020
    9   840.93  1024.61       8722        346    0.870075
   10    28.86   139.47       7346        338    0.949066
   11   261.65   808.14       7128        169    0.791995
   12   159.19   581.78       6364        169    0.701045
   13   813.69   252.51       6245        178    0.785469
   14   614.41   416.84       6065        134    0.816124
   15   696.58   231.65       5650        131    0.818973
   16  1212.10   652.76       5150        136    0.859540
   17   490.04  1079.86       5058        316    0.990241
   18   680.20   606.15       4955        465    0.296369
   19   346.31   235.87       4948        317    0.943357
   20   972.03    34.54       4105         87    0.826439
   21   998.41   399.34       4013        115    0.762441
   22   735.78   685.26       3991        236    0.958989
   23   466.79   594.29       3805         98    0.744697
   24  1004.67   115.96       3586        228    0.909739
   25  1205.11   996.47       3422        109    0.851801
   26   199.33   852.07       3401         96    0.668578
   27   193.18   889.92       3399        100    0.808701
   28    54.71   546.85       3326        100    0.732388
   29  1190.80   602.98       3185        110    0.813413
   30   300.57   934.97       3129         99    0.794647
   31  1036.56   901.94       2954         93    0.808663
   32   642.04   481.13       2876         98    0.804807
   33    11.78   702.69       2821        101    0.807964
   34   344.53   181.40       2618         73    0.379874
   35    65.14   686.10       2601         82    0.841746
   36  1094.51    24.36       2509         80    0.884059
   37   176.06    55.96       2455         75    0.822838
   38   336.77   799.68       2449         77    0.829002
   39   241.94   366.62       2420         92    0.786494
   40   330.48  1051.89       2321         76    0.876862
   41  1182.02    91.27       2317         91    0.847212
   42   816.90   422.12       2104         74    0.839649
   43   641.50   903.48       2069         77    0.809021
   44  1162.01    86.97       1990        104    0.809922
   45   679.81   173.80       1552         59    0.782964
   46   439.77   739.63       1535         75    0.841818
   47   450.30   766.98       1340         66    0.867082
   48   918.54   221.99       1270         62    0.871093
   49   738.31   791.38       1155         73    0.871208
   50   955.20   858.96       1153         63    0.918069
   51   784.33   851.34       1130         53    0.856391
   52  1145.35   901.70       1081         56    0.879034
   53   686.64   152.26       1076         61    0.887417
   54   928.74   620.31       1003         62    0.873812
   55   954.08   931.70        973         59    0.801818
   56   576.15   335.67        972         54    0.861855
   57    52.37   275.49        934         78    0.523940
   58  1145.11   971.71        880         64    0.867132
   59  1032.30   667.46        855         50    0.866084
   60  1156.79   638.53        824         58    0.873305
   61   428.96   556.03        817         54    0.908050
   62  1038.95   950.83        754         51    0.909100
   63   412.99   216.30        737         73    0.862469
   64    46.24   535.00        699         48    0.870851
   65   714.43   844.60        674         57    0.857592
   66  1274.54    83.56        652         52    0.719042
   67   232.63   684.20        603         47    0.377589
   68   642.83   424.46        592         61    0.515640
   69   715.64   405.87        555         52    0.904110
   70   611.96   162.36        536         64    0.862661
   71    90.06   355.74        498         50    0.789393
   72  1138.20   545.32        496         64    0.647455
   73   339.20    31.31        477         87    0.926732
